Sample,Site,PlantSpecies,PlantTaxa,PlantFamily,Duration,LifeForm,Burn Status,Burn,Burnbinomial,UN,Unbinomial,Latitude,Longitude,NMDS1,NMDS2,Shannon,Simpson,Richness
BGB-AMPH-AMFb,BGB,AMBR,Amphicarpaea_bracteata,Fabaceae,Annual,Forb,None,No,0,Natural,0.00,35.68,-83.53,0.13,-0.28,3.61,0.95,87.00
BGB-PAQU-AMFb,BGB,PAQU,Parthenocissus_quinquefolia,Vitaceae,Perennial,Vine,None,No,0,Natural,0.00,35.68,-83.53,0.12,-0.19,3.67,0.96,99.00
FCM-LACT-AMFb,FCM,LACT,Lactuca_canadensis,Asteraceae,Annual,Forb,High,Yes,1,Natural,0.00,35.70,-83.53,-0.63,-0.27,1.41,0.58,22.00
FCM-PANI-AMFb,FCM,PANI,Panicum_miliaceum,Poaceae,Annual,Grass,High,Yes,1,Natural,0.00,35.70,-83.53,-0.66,0.16,2.28,0.84,23.00
FCM-SMIL-AMFb,FCM,SMIL,Smilax_glauca,Smilacaceae,Perennial,Vine,High,Yes,1,Natural,0.00,35.70,-83.53,-0.46,-0.17,2.81,0.89,41.00
LCM-KALA-AMFb,LCM,KALA,Kalmia_latifolia,Ericaceae,Perennial,Tree,High,Yes,1,Natural,0.00,35.70,-83.53,-0.55,0.50,2.03,0.83,16.00
LCM-LACT-AMFb,LCM,LACT,Lactuca_canadensis,Asteraceae,Annual,Forb,High,Yes,1,Natural,0.00,35.70,-83.53,-0.52,0.02,3.24,0.94,54.00
LGB-KALA-AMFb,LGB,KALA,Kalmia_latifolia,Ericaceae,Perennial,Tree,Med,Yes,1,Natural,0.00,35.68,-83.51,-0.20,0.09,3.17,0.94,57.00
LGB-LACT-AMFb,LGB,LACT,Lactuca_canadensis,Asteraceae,Annual,Forb,Med,Yes,1,Natural,0.00,35.68,-83.51,0.08,0.06,3.62,0.96,76.00
LGB-LYQU-AMFb,LGB,LYQU,Lysimachia_quadrifolia,Primulaceae,Perennial,Forb,Med,Yes,1,Natural,0.00,35.68,-83.51,-0.18,-0.09,2.79,0.89,46.00
LGB-PANI-AMFb,LGB,PANI,Panicum_miliaceum,Poaceae,Annual,Grass,Med,Yes,1,Natural,0.00,35.68,-83.51,-0.50,-0.09,2.75,0.90,48.00
LGB-SMIL-AMFb,LGB,SMIL,Smilax_glauca,Smilacaceae,Perennial,Vine,Med,Yes,1,Natural,0.00,35.68,-83.51,-0.69,-0.01,2.28,0.82,28.00
NEON-AMBR-AMFb,NEON,AMBR,Amphicarpaea_bracteata,Fabaceae,Annual,Forb,Med,Yes,1,Natural,0.00,35.69,-83.50,0.70,0.37,2.14,0.85,21.00
NEON-PAQU-AMFb,NEON,PAQU,Parthenocissus_quinquefolia,Vitaceae,Perennial,Vine,Med,Yes,1,Natural,0.00,35.69,-83.50,-0.48,0.23,2.73,0.88,47.00
NEON-PLMA-AMFb,NEON,PLMA,Phytolacca_americana,Phytolaccaceae,Perennial,Forb,Med,Yes,0,Natural,0.00,35.69,-83.50,0.86,0.40,1.93,0.76,25.00
NEON-SMIL-AMFb,NEON,SMIL,Smilax_glauca,Smilacaceae,Perennial,Vine,Med,Yes,1,Natural,0.00,35.69,-83.50,-0.28,0.43,3.00,0.92,63.00
NEON-VIOL-AMFb,NEON,VIOL,Viola_palmata,Violaceae,Perennial,Forb,Med,Yes,1,Natural,0.00,35.69,-83.50,1.03,-0.33,2.56,0.79,69.00
PL441-AMBR-AMFb,PL441,AMBR,Amphicarpaea_bracteata,Fabaceae,Annual,Forb,None,No,0,Natural,0.00,35.71,-83.52,0.23,-0.50,3.06,0.90,134.00
PL441-VIOL-AMFb,PL441,VIOL,Viola_palmata,Violaceae,Perennial,Forb,None,No,0,Natural,0.00,35.71,-83.52,0.29,0.43,2.79,0.81,126.00
RGB-KALA-AMFb,RGB,KALA,Kalmia_latifolia,Ericaceae,Perennial,Tree,Med,Yes,1,Natural,0.00,35.68,-83.51,-0.78,0.52,1.91,0.77,20.00
RGB-LACT-AMFb,RGB,LACT,Lactuca_canadensis,Asteraceae,Annual,Forb,Med,Yes,1,Natural,0.00,35.68,-83.51,-0.06,0.45,2.67,0.90,42.00
RGB-LYQU-AMFb,RGB,LYQU,Lysimachia_quadrifolia,Primulaceae,Perennial,Forb,Med,Yes,1,Natural,0.00,35.68,-83.51,-0.32,0.42,3.23,0.94,48.00
RS441-PAQU-AMFb,RS441,PAQU,Parthenocissus_quinquefolia,Vitaceae,Perennial,Vine,None,No,0,Natural,0.00,35.70,-83.53,-0.13,-0.04,2.90,0.90,49.00
RS441-SMIL-AMFb,RS441,SMIL,Smilax_glauca,Smilacaceae,Perennial,Vine,None,No,0,Natural,0.00,35.70,-83.53,0.73,-1.62,1.72,0.69,36.00
SCM-LACT-AMFb,SCM,LACT,Lactuca_canadensis,Asteraceae,Annual,Forb,High,Yes,1,Natural,0.00,35.70,-83.53,-0.42,0.13,3.15,0.90,65.00
SCM-PANI-AMFb,SCM,PANI,Panicum_miliaceum,Poaceae,Annual,Grass,High,Yes,1,Natural,0.00,35.70,-83.53,-0.57,-0.31,1.86,0.79,16.00
CANEY-ACER-AMFb,CANEY,ACER,Acer_saccharum,Aceraceae,Perennial,Tree,None,No,0,Urban,1.00,35.72,-83.50,0.10,-0.96,2.52,0.87,39.00
CANEY-PANI-AMFb,CANEY,PANI,Panicum_miliaceum,Poaceae,Annual,Grass,None,No,0,Urban,1.00,35.72,-83.50,-0.21,0.66,2.35,0.86,34.00
CANEY-PLMA-AMFb,CANEY,PLMA,Phytolacca_americana,Phytolaccaceae,Perennial,Forb,None,No,0,Urban,1.00,35.72,-83.50,0.94,-0.04,3.43,0.95,74.00
CANEY-SMIL-AMFb,CANEY,SMIL,Smilax_glauca,Smilacaceae,Perennial,Vine,None,No,0,Urban,1.00,35.72,-83.50,-0.30,0.28,3.08,0.91,69.00
